ID,Category,Prompt,GreenRange,YellowRange,RedRange,SimulatedValue,Status,Action
W-367,Claims Management,Weekly average payout (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,108.8,Green,Maintain course.
W-368,Claims Management,Weekly average payout (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,137.2,Red,Escalate to owner agent; launch corrective playbook.
W-369,Claims Management,Weekly fraud flag count (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.9,Green,Maintain course.
W-370,Claims Management,Weekly subrogation recovery % (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,125.4,Red,Escalate to owner agent; launch corrective playbook.
W-371,Claims Management,Weekly open claim backlog (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,64.2,Red,Escalate to owner agent; launch corrective playbook.
W-372,Claims Management,Weekly vendor claim breach (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,104.4,Green,Maintain course.
W-373,Claims Management,Weekly denial rate (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,82.8,Yellow,Investigate moderate deviation.
W-374,Claims Management,Weekly vendor claim breach (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,126.5,Red,Escalate to owner agent; launch corrective playbook.
W-375,Claims Management,Weekly denial rate (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,125.3,Red,Escalate to owner agent; launch corrective playbook.
W-376,Claims Management,Weekly subrogation recovery % (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,91.7,Green,Maintain course.
W-377,Claims Management,Weekly fraud flag count (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,90.9,Green,Maintain course.
W-378,Training,Weekly diagnostic quiz score (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,78.0,Red,Escalate to owner agent; launch corrective playbook.
W-379,Training,Weekly skill badge attainment (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,127.1,Red,Escalate to owner agent; launch corrective playbook.
W-380,Training,Weekly skill badge attainment (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,71.0,Red,Escalate to owner agent; launch corrective playbook.
W-381,Training,Weekly QA pass rate (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,115.7,Yellow,Investigate moderate deviation.
W-382,Training,Weekly mentor ride-alongs (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,95.9,Green,Maintain course.
W-383,Training,Weekly VR completion rate (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,61.5,Red,Escalate to owner agent; launch corrective playbook.
W-384,Training,Weekly new hire productivity (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,103.9,Green,Maintain course.
W-385,Training,Weekly training hour per tech (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,122.1,Red,Escalate to owner agent; launch corrective playbook.
W-386,Training,Weekly new hire productivity (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,69.7,Red,Escalate to owner agent; launch corrective playbook.
W-387,Training,Weekly new hire productivity (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,111.1,Yellow,Investigate moderate deviation.
W-388,Training,Weekly course drop-off % (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,68.9,Red,Escalate to owner agent; launch corrective playbook.
W-389,Training,Weekly course drop-off % (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,110.6,Yellow,Investigate moderate deviation.
W-390,Training,Weekly QA pass rate (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,60.1,Red,Escalate to owner agent; launch corrective playbook.
W-391,Training,Weekly skill badge attainment (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,105.7,Green,Maintain course.
W-392,Training,Weekly mentor ride-alongs (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,101.9,Green,Maintain course.
W-393,Training,Weekly VR completion rate (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,129.9,Red,Escalate to owner agent; launch corrective playbook.
W-394,Training,Weekly skill badge attainment (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,119.8,Yellow,Investigate moderate deviation.
W-395,Training,Weekly mentor ride-alongs (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,88.2,Yellow,Investigate moderate deviation.
W-396,Training,Weekly course drop-off % (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,110.5,Yellow,Investigate moderate deviation.
W-397,Training,Weekly QA pass rate (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,63.5,Red,Escalate to owner agent; launch corrective playbook.
W-398,Training,Weekly new hire productivity (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,85.2,Yellow,Investigate moderate deviation.
W-399,Training,Weekly course drop-off % (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,62.9,Red,Escalate to owner agent; launch corrective playbook.
W-400,Training,Weekly skill badge attainment (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,129.3,Red,Escalate to owner agent; launch corrective playbook.
W-401,Training,Weekly training hour per tech (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,119.5,Yellow,Investigate moderate deviation.
W-402,Training,Weekly training hour per tech (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,137.9,Red,Escalate to owner agent; launch corrective playbook.
W-403,Training,Weekly diagnostic quiz score (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,66.3,Red,Escalate to owner agent; launch corrective playbook.
W-404,Training,Weekly mentor ride-alongs (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,85.7,Yellow,Investigate moderate deviation.
W-405,Training,Weekly QA pass rate (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,95.7,Green,Maintain course.
W-406,Recruiting,Weekly cost per hire (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,115.2,Yellow,Investigate moderate deviation.
W-407,Recruiting,Weekly licensed candidate pool (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,63.4,Red,Escalate to owner agent; launch corrective playbook.
W-408,Recruiting,Weekly licensed candidate pool (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,82.0,Yellow,Investigate moderate deviation.
W-409,Recruiting,Weekly applicant inflow (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,113.7,Yellow,Investigate moderate deviation.
W-410,Recruiting,Weekly cost per hire (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,101.0,Green,Maintain course.
W-411,Recruiting,Weekly offer acceptance rate (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,71.4,Red,Escalate to owner agent; launch corrective playbook.
W-412,Recruiting,Weekly sourcing channel mix (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,70.1,Red,Escalate to owner agent; launch corrective playbook.
W-413,Recruiting,Weekly referral share (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,89.0,Yellow,Investigate moderate deviation.
W-414,Recruiting,Weekly applicant inflow (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,114.3,Yellow,Investigate moderate deviation.
W-415,Recruiting,Weekly licensed candidate pool (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,95.5,Green,Maintain course.
W-416,Recruiting,Weekly time-to-hire (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,102.4,Green,Maintain course.
W-417,Recruiting,Weekly BG-check backlog (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,136.8,Red,Escalate to owner agent; launch corrective playbook.
W-418,Recruiting,Weekly sourcing channel mix (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,133.1,Red,Escalate to owner agent; launch corrective playbook.
W-419,Recruiting,Weekly time-to-hire (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,122.0,Red,Escalate to owner agent; launch corrective playbook.
W-420,Recruiting,Weekly sourcing channel mix (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,139.7,Red,Escalate to owner agent; launch corrective playbook.
W-421,Recruiting,Weekly BG-check backlog (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,76.0,Red,Escalate to owner agent; launch corrective playbook.
W-422,Recruiting,Weekly offer acceptance rate (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.2,Green,Maintain course.
W-423,Recruiting,Weekly sourcing channel mix (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,124.8,Red,Escalate to owner agent; launch corrective playbook.
W-424,Recruiting,Weekly BG-check backlog (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,116.9,Yellow,Investigate moderate deviation.
W-425,Recruiting,Weekly offer acceptance rate (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,100.7,Green,Maintain course.
W-426,Recruiting,Weekly time-to-hire (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,123.4,Red,Escalate to owner agent; launch corrective playbook.
W-427,Recruiting,Weekly referral share (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,62.1,Red,Escalate to owner agent; launch corrective playbook.
W-428,Recruiting,Weekly cost per hire (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,102.1,Green,Maintain course.
W-429,Recruiting,Weekly cost per hire (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,70.0,Red,Escalate to owner agent; launch corrective playbook.
W-430,Recruiting,Weekly licensed candidate pool (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.0,Green,Maintain course.
W-431,Recruiting,Weekly licensed candidate pool (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,130.2,Red,Escalate to owner agent; launch corrective playbook.
W-432,Recruiting,Weekly offer acceptance rate (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,94.6,Green,Maintain course.
W-433,Recruiting,Weekly offer acceptance rate (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,73.2,Red,Escalate to owner agent; launch corrective playbook.
W-434,Retention,Weekly retention survey score (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,87.7,Yellow,Investigate moderate deviation.
W-435,Retention,Weekly CSAT of churned techs (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,80.0,Yellow,Investigate moderate deviation.
W-436,Retention,Weekly CSAT of churned techs (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,110.0,Green,Maintain course.
W-437,Retention,Weekly low earnings trajectory (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,107.3,Green,Maintain course.
W-438,Retention,Weekly subscriber churn (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,112.7,Yellow,Investigate moderate deviation.
W-439,Retention,Weekly retention survey score (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,126.0,Red,Escalate to owner agent; launch corrective playbook.
W-440,Retention,Weekly voluntary churn % (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,63.6,Red,Escalate to owner agent; launch corrective playbook.
W-441,Retention,Weekly CSAT of churned techs (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,121.4,Red,Escalate to owner agent; launch corrective playbook.
W-442,Retention,Weekly average tenure (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,99.8,Green,Maintain course.
W-443,Retention,Weekly CSAT of churned techs (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,98.6,Green,Maintain course.
W-444,Retention,Weekly average tenure (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.3,Green,Maintain course.
W-445,Retention,Weekly voluntary churn % (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,95.2,Green,Maintain course.
W-446,Retention,Weekly early churn alerts (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,76.3,Red,Escalate to owner agent; launch corrective playbook.
W-447,Retention,Weekly subscriber churn (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,128.9,Red,Escalate to owner agent; launch corrective playbook.
W-448,Retention,Weekly retention survey score (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,138.0,Red,Escalate to owner agent; launch corrective playbook.
W-449,Retention,Weekly low earnings trajectory (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,79.3,Red,Escalate to owner agent; launch corrective playbook.
W-450,Retention,Weekly low earnings trajectory (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.0,Green,Maintain course.
W-451,Retention,Weekly subscriber churn (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,64.0,Red,Escalate to owner agent; launch corrective playbook.
W-452,Retention,Weekly average tenure (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,79.9,Red,Escalate to owner agent; launch corrective playbook.
W-453,Retention,Weekly subscriber churn (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,139.7,Red,Escalate to owner agent; launch corrective playbook.
W-454,Retention,Weekly CSAT of churned techs (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,61.9,Red,Escalate to owner agent; launch corrective playbook.
W-455,Retention,Weekly average tenure (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,137.3,Red,Escalate to owner agent; launch corrective playbook.
W-456,Retention,Weekly QR activation rate (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,63.9,Red,Escalate to owner agent; launch corrective playbook.
W-457,Retention,Weekly early churn alerts (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,102.9,Green,Maintain course.
W-458,Retention,Weekly low earnings trajectory (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,70.7,Red,Escalate to owner agent; launch corrective playbook.
W-459,Retention,Weekly CSAT of churned techs (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,121.1,Red,Escalate to owner agent; launch corrective playbook.
W-460,Retention,Weekly average tenure (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,123.6,Red,Escalate to owner agent; launch corrective playbook.
W-461,Retention,Weekly subscriber churn (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,108.2,Green,Maintain course.
W-462,Declined Estimates,Weekly decline reason price (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,63.6,Red,Escalate to owner agent; launch corrective playbook.
W-463,Declined Estimates,Weekly follow-up conversion (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,124.3,Red,Escalate to owner agent; launch corrective playbook.
W-464,Declined Estimates,Weekly average decline quote (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,108.5,Green,Maintain course.
W-465,Declined Estimates,Weekly financing uptake on declines (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,91.4,Green,Maintain course.
W-466,Declined Estimates,Weekly saved-decline margin (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,100.6,Green,Maintain course.
W-467,Declined Estimates,Weekly average decline quote (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,98.0,Green,Maintain course.
W-468,Declined Estimates,Weekly declined repair value (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,86.5,Yellow,Investigate moderate deviation.
W-469,Declined Estimates,Weekly high-ticket decline rate (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,106.7,Green,Maintain course.
W-470,Declined Estimates,Weekly declined repair value (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,81.2,Yellow,Investigate moderate deviation.
W-471,Declined Estimates,Weekly top declined job-code (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,106.7,Green,Maintain course.
W-472,Declined Estimates,Weekly follow-up conversion (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,71.8,Red,Escalate to owner agent; launch corrective playbook.
W-473,Declined Estimates,Weekly high-ticket decline rate (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,61.5,Red,Escalate to owner agent; launch corrective playbook.
W-474,Declined Estimates,Weekly financing uptake on declines (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,72.1,Red,Escalate to owner agent; launch corrective playbook.
W-475,Declined Estimates,Weekly top declined job-code (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,100.1,Green,Maintain course.
W-476,Declined Estimates,Weekly average decline quote (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,116.5,Yellow,Investigate moderate deviation.
W-477,Declined Estimates,Weekly top declined job-code (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,139.8,Red,Escalate to owner agent; launch corrective playbook.
W-478,Declined Estimates,Weekly average decline quote (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,85.1,Yellow,Investigate moderate deviation.
W-479,Declined Estimates,Weekly follow-up conversion (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,133.0,Red,Escalate to owner agent; launch corrective playbook.
W-480,Declined Estimates,Weekly financing uptake on declines (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,114.1,Yellow,Investigate moderate deviation.
W-481,Declined Estimates,Weekly saved-decline margin (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,75.4,Red,Escalate to owner agent; launch corrective playbook.
W-482,Declined Estimates,Weekly top declined job-code (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,104.6,Green,Maintain course.
W-483,Declined Estimates,Weekly saved-decline margin (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,115.2,Yellow,Investigate moderate deviation.
W-484,Declined Estimates,Weekly average decline quote (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,98.4,Green,Maintain course.
W-485,Declined Estimates,Weekly saved-decline margin (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,69.7,Red,Escalate to owner agent; launch corrective playbook.
W-486,Declined Estimates,Weekly decline reason price (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,125.5,Red,Escalate to owner agent; launch corrective playbook.
W-487,Declined Estimates,Weekly follow-up conversion (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,63.4,Red,Escalate to owner agent; launch corrective playbook.
W-488,Declined Estimates,Weekly high-ticket decline rate (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,133.9,Red,Escalate to owner agent; launch corrective playbook.
W-489,Declined Estimates,Weekly top declined job-code (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,126.2,Red,Escalate to owner agent; launch corrective playbook.
W-490,Cancels,Weekly repeat cancels (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,71.0,Red,Escalate to owner agent; launch corrective playbook.
W-491,Cancels,Weekly parts-delay cancels (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,64.1,Red,Escalate to owner agent; launch corrective playbook.
W-492,Cancels,Weekly D2C cancel % (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,93.1,Green,Maintain course.
W-493,Cancels,Weekly cancel-to-rebook ratio (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,114.5,Yellow,Investigate moderate deviation.
W-494,Cancels,Weekly cancel GP loss (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,137.2,Red,Escalate to owner agent; launch corrective playbook.
W-495,Cancels,Weekly cancel GP loss (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,112.2,Yellow,Investigate moderate deviation.
W-496,Cancels,Weekly cancel-to-rebook ratio (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,112.0,Yellow,Investigate moderate deviation.
W-497,Cancels,Weekly repeat cancels (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,82.8,Yellow,Investigate moderate deviation.
W-498,Cancels,Weekly parts-delay cancels (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,133.1,Red,Escalate to owner agent; launch corrective playbook.
W-499,Cancels,Weekly late-cancel fee collected (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,74.9,Red,Escalate to owner agent; launch corrective playbook.
W-500,Cancels,Weekly repeat cancels (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,60.7,Red,Escalate to owner agent; launch corrective playbook.
W-501,Cancels,Weekly B2B cancel % (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,82.8,Yellow,Investigate moderate deviation.
W-502,Cancels,Weekly cancel-to-rebook ratio (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,128.1,Red,Escalate to owner agent; launch corrective playbook.
W-503,Cancels,Weekly cancel-to-rebook ratio (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,75.4,Red,Escalate to owner agent; launch corrective playbook.
W-504,Cancels,Weekly cancel GP loss (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,111.9,Yellow,Investigate moderate deviation.
W-505,Cancels,Weekly cancel due reschedule (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,105.4,Green,Maintain course.
W-506,Cancels,Weekly parts-delay cancels (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,108.9,Green,Maintain course.
W-507,Cancels,Weekly late-cancel fee collected (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,101.2,Green,Maintain course.
W-508,Cancels,Weekly B2B cancel % (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,113.5,Yellow,Investigate moderate deviation.
W-509,Cancels,Weekly cancel GP loss (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,98.2,Green,Maintain course.
W-510,Cancels,Weekly repeat cancels (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,78.8,Red,Escalate to owner agent; launch corrective playbook.
W-511,Cancels,Weekly B2B cancel % (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,84.5,Yellow,Investigate moderate deviation.
W-512,Cancels,Weekly late-cancel fee collected (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,115.2,Yellow,Investigate moderate deviation.
W-513,Cancels,Weekly cancel due reschedule (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,116.2,Yellow,Investigate moderate deviation.
W-514,Cancels,Weekly cancel-to-rebook ratio (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,120.9,Red,Escalate to owner agent; launch corrective playbook.
W-515,Cancels,Weekly cancel due reschedule (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,133.4,Red,Escalate to owner agent; launch corrective playbook.
W-516,Cancels,Weekly B2B cancel % (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,126.3,Red,Escalate to owner agent; launch corrective playbook.
W-517,Cancels,Weekly cancel GP loss (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,128.4,Red,Escalate to owner agent; launch corrective playbook.
W-518,Parts Usage,Weekly return compliance % (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,114.4,Yellow,Investigate moderate deviation.
W-519,Parts Usage,Weekly return compliance % (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.3,Green,Maintain course.
W-520,Parts Usage,Weekly vendor cost variance (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,105.1,Green,Maintain course.
W-521,Parts Usage,Weekly return compliance % (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,117.9,Yellow,Investigate moderate deviation.
W-522,Parts Usage,Weekly vendor cost variance (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,125.3,Red,Escalate to owner agent; launch corrective playbook.
W-523,Parts Usage,Weekly high-waste SKU count (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,63.6,Red,Escalate to owner agent; launch corrective playbook.
W-524,Parts Usage,Weekly parts GP delta YoY (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,103.3,Green,Maintain course.
W-525,Parts Usage,Weekly truck inventory aging $ (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,138.9,Red,Escalate to owner agent; launch corrective playbook.
W-526,Parts Usage,Weekly avg parts per job (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,74.4,Red,Escalate to owner agent; launch corrective playbook.
W-527,Parts Usage,Weekly scrap rate (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,90.0,Green,Maintain course.
W-528,Parts Usage,Weekly vendor cost variance (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,66.4,Red,Escalate to owner agent; launch corrective playbook.
W-529,Parts Usage,Weekly scrap rate (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,69.5,Red,Escalate to owner agent; launch corrective playbook.
W-530,Parts Usage,Weekly vendor cost variance (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,118.2,Yellow,Investigate moderate deviation.
W-531,Parts Usage,Weekly high-waste SKU count (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,120.5,Red,Escalate to owner agent; launch corrective playbook.
W-532,Parts Usage,Weekly avg parts per job (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,113.9,Yellow,Investigate moderate deviation.
W-533,Parts Usage,Weekly high-waste SKU count (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,96.9,Green,Maintain course.
W-534,Parts Usage,Weekly scrap rate (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,75.1,Red,Escalate to owner agent; launch corrective playbook.
W-535,Parts Usage,Weekly FSSL stock hit % (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,124.8,Red,Escalate to owner agent; launch corrective playbook.
W-536,Parts Usage,Weekly vendor cost variance (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,79.3,Red,Escalate to owner agent; launch corrective playbook.
W-537,Parts Usage,Weekly FSSL stock hit % (YoY) for the planning area,90-110,80-90 or 110-120,<80 or >120,107.5,Green,Maintain course.
W-538,Parts Usage,Weekly truck inventory aging $ (p90) for the planning area,90-110,80-90 or 110-120,<80 or >120,100.3,Green,Maintain course.
W-539,Parts Usage,Weekly avg parts per job (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,125.3,Red,Escalate to owner agent; launch corrective playbook.
W-540,Parts Usage,Weekly parts GP delta YoY (delta) for the planning area,90-110,80-90 or 110-120,<80 or >120,79.0,Red,Escalate to owner agent; launch corrective playbook.
W-541,Parts Usage,Weekly scrap rate (target variance) for the planning area,90-110,80-90 or 110-120,<80 or >120,93.1,Green,Maintain course.
W-542,Parts Usage,Weekly avg parts per job (WoW) for the planning area,90-110,80-90 or 110-120,<80 or >120,104.5,Green,Maintain course.
W-543,Parts Usage,Weekly parts GP delta YoY (index) for the planning area,90-110,80-90 or 110-120,<80 or >120,122.9,Red,Escalate to owner agent; launch corrective playbook.
W-544,Parts Usage,Weekly scrap rate (score) for the planning area,90-110,80-90 or 110-120,<80 or >120,79.3,Red,Escalate to owner agent; launch corrective playbook.
W-545,Parts Usage,Weekly high-waste SKU count (ratio) for the planning area,90-110,80-90 or 110-120,<80 or >120,128.6,Red,Escalate to owner agent; launch corrective playbook.
